epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.584,3.0995,5.06185,3.53683,0.48785,0.01235,0.00882,0.00401,2.30743,3.71758,2.64369,0.00333153,0.00333153,0.00333153
2,1525.62,1.93266,3.57198,2.13831,0.255,0.10005,0.05767,0.03014,1.84518,2.88055,2.01396,0.00666324,0.00666324,0.00666324
3,2283.63,1.69183,2.97947,1.82965,0.23386,0.16062,0.1102,0.06317,1.65672,2.51467,1.7936,0.00998843,0.00998843,0.00998843
4,3038.8,1.57916,2.61463,1.67434,0.3085,0.21632,0.18072,0.11127,1.5345,2.17516,1.63445,0.00997803,0.00997803,0.00997803
5,3794.31,1.49929,2.39194,1.57979,0.37952,0.25282,0.23024,0.14599,1.45334,1.9899,1.54998,0.00996097,0.00996097,0.00996097
6,4548.27,1.45558,2.25882,1.52491,0.41241,0.279,0.26387,0.17098,1.40353,1.87253,1.49403,0.00993906,0.00993906,0.00993906
7,5301.08,1.4254,2.17414,1.49135,0.41883,0.29923,0.28717,0.18741,1.37598,1.79762,1.46233,0.00991232,0.00991232,0.00991232
8,6054.75,1.40305,2.10886,1.46458,0.42568,0.31179,0.30456,0.19961,1.35519,1.74963,1.43669,0.00988079,0.00988079,0.00988079
9,6809.23,1.38635,2.06322,1.4444,0.44867,0.3189,0.31472,0.2079,1.33907,1.72108,1.41977,0.00984449,0.00984449,0.00984449
10,7561.74,1.37236,2.02053,1.42536,0.45538,0.32465,0.32261,0.21409,1.329,1.70096,1.40748,0.00980345,0.00980345,0.00980345
11,8313.96,1.36385,1.99288,1.41275,0.46266,0.32822,0.32834,0.21823,1.32171,1.68653,1.39811,0.00975773,0.00975773,0.00975773
12,9066.53,1.35369,1.96247,1.40064,0.46739,0.33246,0.33236,0.22153,1.31585,1.67489,1.39079,0.00970736,0.00970736,0.00970736
13,9818.5,1.34347,1.9382,1.38797,0.47034,0.3362,0.33792,0.22576,1.30949,1.66387,1.38285,0.00965239,0.00965239,0.00965239
14,10571,1.33654,1.92006,1.38034,0.48124,0.33754,0.34201,0.22915,1.30424,1.65377,1.37588,0.00959289,0.00959289,0.00959289
15,11323.2,1.32997,1.89892,1.37153,0.49521,0.33675,0.34596,0.23218,1.29921,1.64513,1.36919,0.00952889,0.00952889,0.00952889
