epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61884,1.62957,4.5849,1.17466,0,0,0,0,2.50526,0.17444,3.21859,0.0775,0.0025,0.0025
2,12.0075,1.53923,0.52747,1.10558,0,0,0,0,2.39976,0.24327,2.83981,0.0540988,0.00509875,0.00509875
3,16.5032,1.53991,0.51577,1.08684,0,0,0,0,2.17863,0.22573,2.72774,0.0306925,0.00769248,0.00769248
4,20.6342,1.44562,0.58214,1.00673,0.00012,0.04865,0.00019,3e-05,1.34634,0.82926,1.54203,0.00997803,0.00997803,0.00997803
5,24.7824,1.39081,0.63128,0.93925,5e-05,0.02051,5e-05,1e-05,1.41673,0.72518,1.41909,0.00996097,0.00996097,0.00996097
6,29.1072,1.39065,0.61313,0.9686,2e-05,0.00132,1e-05,0,1.49027,0.73006,1.58976,0.00993906,0.00993906,0.00993906
7,33.4207,1.40087,0.62114,1.00499,5e-05,0.02162,0.0001,1e-05,1.64235,0.45461,1.57656,0.00991232,0.00991232,0.00991232
8,37.6127,1.40181,0.60706,1.00165,1e-05,0.00395,1e-05,0,1.53654,0.99564,1.48764,0.00988079,0.00988079,0.00988079
9,41.7382,1.42085,0.58269,0.93586,1e-05,0.00395,1e-05,0,1.2694,0.87067,1.22129,0.00984449,0.00984449,0.00984449
10,45.988,1.46544,0.54529,1.02826,0.00011,0.04487,0.00012,3e-05,1.41772,0.70072,1.39218,0.00980345,0.00980345,0.00980345
11,50.2644,1.44811,0.58111,1.03894,4e-05,0.01622,3e-05,1e-05,1.39771,0.98273,1.34653,0.00975773,0.00975773,0.00975773
12,54.5195,1.46868,0.58342,0.95789,2e-05,0.00405,1e-05,0,1.43086,0.7,1.43958,0.00970736,0.00970736,0.00970736
13,58.5464,1.51374,0.52755,1.03882,4e-05,0.00667,3e-05,1e-05,1.39075,0.64707,1.31831,0.00965239,0.00965239,0.00965239
14,62.7538,1.47089,0.5062,1.03148,1e-05,0.00526,1e-05,0,1.43506,0.67401,1.28415,0.00959289,0.00959289,0.00959289
15,66.8569,1.46475,0.52206,0.99091,0.00012,0.00135,6e-05,1e-05,1.38497,0.77103,1.44955,0.00952889,0.00952889,0.00952889
16,71.2343,1.55815,0.48193,1.03699,2e-05,0.0027,1e-05,1e-05,1.58697,0.55925,1.67614,0.00946048,0.00946048,0.00946048
17,75.2894,1.48099,0.49024,1.01701,0.00043,0.06328,0.00062,0.00012,1.43348,0.62041,1.31356,0.00938772,0.00938772,0.00938772
18,79.6786,1.55808,0.42433,1.12466,9e-05,0.00541,0.00015,3e-05,1.40545,0.5945,1.33666,0.00931067,0.00931067,0.00931067
19,83.9663,1.46952,0.49015,0.96147,0.00024,0.04298,0.00115,0.0002,1.41804,0.74332,1.47777,0.00922942,0.00922942,0.00922942
