epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.902,3.55062,4.4251,3.81692,0,0,0,0,nan,nan,nan,0.0775,0.0025,0.0025
2,16.999,3.25276,3.51401,3.18933,0,0,0,0,nan,nan,nan,0.0540988,0.00509875,0.00509875
3,25.1917,3.19511,3.4542,3.06813,0,0,0,0,nan,nan,nan,0.0306925,0.00769248,0.00769248
4,32.5602,3.11354,3.17909,2.9332,0,0,0,0,nan,nan,nan,0.00997803,0.00997803,0.00997803
5,39.5667,3.03176,3.10981,2.86535,0.45001,0.00132,0,0,nan,nan,nan,0.00996097,0.00996097,0.00996097
6,47.508,2.9037,2.81835,2.81631,0.27264,0.10735,0.00805,0.00154,3.46249,inf,17.2264,0.00993906,0.00993906,0.00993906
7,56.0299,2.85246,2.83584,2.7914,0.2254,0.14711,0.02359,0.00595,3.38245,53.3752,5.43687,0.00991232,0.00991232,0.00991232
8,63.9452,2.857,2.77461,2.7744,0.41473,0.06644,0.01822,0.00419,3.41735,inf,5.93733,0.00988079,0.00988079,0.00988079
9,71.4497,2.85232,2.68713,2.71368,0.50321,0.16203,0.08095,0.01492,3.26617,49.2704,3.62556,0.00984449,0.00984449,0.00984449
10,79.5562,2.74148,2.66861,2.68214,0.30239,0.20948,0.09492,0.02592,2.9488,9.24672,3.19552,0.00980345,0.00980345,0.00980345
11,87.6217,2.70323,2.49663,2.64866,0.3296,0.27452,0.16665,0.04692,2.89982,5.38068,3.30374,0.00975773,0.00975773,0.00975773
12,94.8533,2.66619,2.32514,2.58662,0.33172,0.36296,0.28455,0.09715,2.65312,5.17872,2.90552,0.00970736,0.00970736,0.00970736
13,102.258,2.58326,2.33635,2.58391,0.37756,0.30569,0.25411,0.08058,2.78568,5.59292,3.04008,0.00965239,0.00965239,0.00965239
14,109.524,2.61207,2.3669,2.58469,0.55513,0.38238,0.36106,0.14286,2.50987,2.94526,2.77125,0.00959289,0.00959289,0.00959289
15,117.05,2.55515,2.23576,2.52703,0.28479,0.33436,0.21947,0.07431,2.64789,5.33209,2.82591,0.00952889,0.00952889,0.00952889
16,125.509,2.55583,2.3627,2.57766,0.3146,0.38979,0.33067,0.11837,2.50454,2.99905,2.74102,0.00946048,0.00946048,0.00946048
17,132.45,2.53492,2.24326,2.50329,0.35641,0.23915,0.14804,0.0475,2.59826,4.60894,2.8128,0.00938772,0.00938772,0.00938772
18,140.466,2.48713,2.3081,2.52287,0.48983,0.37674,0.33481,0.14457,2.3157,2.72567,2.69383,0.00931067,0.00931067,0.00931067
19,147.79,2.43119,2.12383,2.43834,0.37477,0.3817,0.3536,0.13066,2.47183,3.19324,2.76621,0.00922942,0.00922942,0.00922942
20,155.342,2.42237,2.11387,2.46524,0.4468,0.35797,0.32339,0.14704,2.4266,2.87756,2.80984,0.00914405,0.00914405,0.00914405
21,163.288,2.38915,2.07998,2.45994,0.40873,0.30758,0.23549,0.09828,2.40934,3.1985,2.75907,0.00905463,0.00905463,0.00905463
22,170.765,2.30323,2.05212,2.3778,0.34546,0.30042,0.28642,0.11667,2.38216,3.24147,2.65809,0.00896127,0.00896127,0.00896127
23,177.305,2.29966,1.92179,2.29695,0.51422,0.35355,0.36931,0.17033,2.2225,2.81157,2.63637,0.00886404,0.00886404,0.00886404
24,184.011,2.25878,1.91827,2.28478,0.47399,0.39551,0.38551,0.1848,2.24374,2.38376,2.64089,0.00876305,0.00876305,0.00876305
25,191.257,2.21149,1.86902,2.27927,0.41583,0.3547,0.35741,0.16459,2.29873,2.41684,2.6641,0.00865839,0.00865839,0.00865839
26,199.035,2.20657,1.90782,2.31314,0.44121,0.35563,0.32544,0.14454,2.30361,2.53949,2.73105,0.00855018,0.00855018,0.00855018
27,206.087,2.15586,1.82569,2.27765,0.42535,0.39187,0.3951,0.17522,2.25982,2.59057,2.62731,0.00843851,0.00843851,0.00843851
28,213.971,2.18177,1.88379,2.31043,0.43589,0.39668,0.41613,0.19318,2.20394,2.47532,2.62033,0.00832349,0.00832349,0.00832349
29,220.955,2.12391,1.82491,2.23718,0.52431,0.33375,0.35888,0.18681,2.11944,2.64473,2.56704,0.00820525,0.00820525,0.00820525
30,228.803,2.12423,1.84412,2.27504,0.51315,0.27527,0.34544,0.14749,2.30075,2.60451,2.66517,0.00808389,0.00808389,0.00808389
31,236.802,2.06763,1.79356,2.21989,0.39549,0.29108,0.33445,0.12362,2.51834,2.66942,2.79335,0.00795954,0.00795954,0.00795954
32,243.403,2.10512,1.7329,2.15012,0.49517,0.39438,0.41298,0.18224,2.23238,2.35519,2.56457,0.00783231,0.00783231,0.00783231
33,250.65,2.06858,1.71228,2.2116,0.57672,0.44189,0.45053,0.20843,2.0771,2.41581,2.49871,0.00770234,0.00770234,0.00770234
34,258.143,2.04779,1.66295,2.16117,0.58335,0.34416,0.34341,0.14587,2.1466,2.40159,2.53614,0.00756976,0.00756976,0.00756976
35,265.527,2.07233,1.72563,2.18729,0.59438,0.344,0.40063,0.17375,2.28708,2.62579,2.67153,0.00743468,0.00743468,0.00743468
36,272.89,2.02513,1.67633,2.13415,0.5935,0.47315,0.44315,0.20288,2.06342,2.29897,2.50783,0.00729725,0.00729725,0.00729725
37,280.12,1.97639,1.67437,2.09777,0.52456,0.4502,0.4473,0.21751,2.05935,2.24698,2.50402,0.00715761,0.00715761,0.00715761
38,287.019,1.9284,1.56615,2.05962,0.58659,0.45093,0.4642,0.22295,2.07258,2.28196,2.51655,0.00701588,0.00701588,0.00701588
39,295.062,1.94143,1.67402,2.11395,0.5859,0.45626,0.44458,0.21441,2.13566,2.15697,2.53909,0.00687222,0.00687222,0.00687222
40,302.52,1.9727,1.62796,2.06971,0.6462,0.38674,0.41689,0.20104,2.05434,2.15475,2.47523,0.00672675,0.00672675,0.00672675
41,310.135,1.89352,1.52753,2.05713,0.55539,0.43292,0.44055,0.20341,2.10392,2.22164,2.51683,0.00657963,0.00657963,0.00657963
42,318.541,1.96521,1.73394,2.10974,0.61973,0.46222,0.44379,0.21776,2.09783,2.22037,2.53121,0.00643101,0.00643101,0.00643101
43,325.297,1.85813,1.48573,1.99068,0.647,0.48743,0.45814,0.21862,2.01569,2.11847,2.45703,0.00628101,0.00628101,0.00628101
44,331.821,1.90939,1.52914,2.01695,0.60579,0.38193,0.40533,0.17949,2.11373,2.56135,2.49958,0.00612981,0.00612981,0.00612981
45,338.772,1.85989,1.46818,2.00162,0.57877,0.37274,0.39103,0.15777,2.24233,2.54032,2.68047,0.00597754,0.00597754,0.00597754
46,346.641,1.88024,1.51059,2.03873,0.58896,0.37111,0.41901,0.18135,2.06811,2.08915,2.47299,0.00582435,0.00582435,0.00582435
47,354.172,1.80656,1.46485,1.98605,0.55829,0.47955,0.46869,0.22374,2.0851,2.04017,2.50895,0.0056704,0.0056704,0.0056704
