epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07689,3.01052,3.96912,4.18641,0.00332,0.99468,0.00559,0.00255,2.07889,3.43939,4.03518,0.000409483,0.000409483,0.000409483
2,11.2535,2.90989,3.56795,3.79731,0.50535,0.47426,0.0983,0.01868,2.76926,5.1913,4.13877,0.000805702,0.000805702,0.000805702
3,15.4549,2.71179,3.294,3.3269,0.01917,0.15287,0.02877,0.01066,2.05776,4.88773,3.26235,0.0011813,0.0011813,0.0011813
4,19.7163,2.22313,2.74527,2.8177,0.28089,0.6726,0.36745,0.16032,1.35641,2.43698,2.54208,0.00115719,0.00115719,0.00115719
5,23.9683,1.91042,2.30543,2.4887,0.42474,0.65425,0.45156,0.2342,1.52365,1.7967,2.67136,0.00112625,0.00112625,0.00112625
6,28.2674,1.67075,1.94752,2.21542,0.46585,0.86187,0.56042,0.35992,1.16609,1.5424,2.31701,0.00109531,0.00109531,0.00109531
7,32.4704,1.46703,1.68245,2.02107,0.40955,0.83556,0.55533,0.34371,1.23511,1.61891,2.23981,0.00106437,0.00106437,0.00106437
8,36.791,1.3545,1.53499,1.88895,0.46187,0.86338,0.60999,0.40179,1.09238,1.40784,2.1248,0.00103344,0.00103344,0.00103344
9,40.9227,1.3031,1.43015,1.8391,0.49392,0.77503,0.58971,0.39832,1.05235,1.69066,2.1197,0.0010025,0.0010025,0.0010025
10,45.2169,1.23885,1.36901,1.77495,0.37006,0.87038,0.5332,0.36988,1.08258,1.57844,2.29692,0.000971562,0.000971562,0.000971562
11,49.6442,1.13928,1.28964,1.69485,0.55149,0.81457,0.69034,0.50251,0.98518,1.24457,2.04234,0.000940625,0.000940625,0.000940625
12,53.8009,1.13811,1.23547,1.67511,0.47451,0.85893,0.62422,0.43778,1.00423,1.27815,1.98541,0.000909688,0.000909688,0.000909688
13,58.0785,1.08274,1.15249,1.62694,0.51564,0.86193,0.69866,0.52605,0.94926,1.23299,2.01994,0.00087875,0.00087875,0.00087875
14,62.3656,1.05565,1.14274,1.60291,0.61551,0.69006,0.51078,0.35013,1.00406,1.95398,1.98329,0.000847813,0.000847813,0.000847813
15,66.6721,1.00943,1.05993,1.56781,0.59122,0.75857,0.65032,0.48616,0.9103,1.48754,1.86228,0.000816875,0.000816875,0.000816875
16,70.8008,0.98712,1.04736,1.54921,0.62719,0.88178,0.75008,0.58557,0.81269,1.17277,1.80121,0.000785938,0.000785938,0.000785938
17,75.0407,0.95913,1.00375,1.51838,0.51172,0.89515,0.7691,0.59313,0.83692,1.23841,1.88143,0.000755,0.000755,0.000755
18,79.3095,0.96528,1.01203,1.51439,0.69292,0.95536,0.85336,0.66741,0.81443,0.91851,1.74869,0.000724062,0.000724062,0.000724062
19,83.5042,0.93875,0.971,1.49047,0.67904,0.91098,0.80822,0.64409,0.78051,0.96839,1.68808,0.000693125,0.000693125,0.000693125
20,87.8013,0.89923,0.94204,1.4691,0.70549,0.91686,0.86307,0.68036,0.81359,0.90365,1.75477,0.000662188,0.000662188,0.000662188
21,92.063,0.92808,0.94489,1.48609,0.67482,0.90031,0.86351,0.6442,0.95967,0.95677,1.87216,0.00063125,0.00063125,0.00063125
22,96.3245,0.89345,0.93036,1.45287,0.74866,0.92367,0.87444,0.69383,0.80038,0.86879,1.76858,0.000600313,0.000600313,0.000600313
